event,iso,notional,pnl,price,qty,ts
FIRST,2026-03-12T00:52:00Z,109.01661965535399,,36.682,2.9719377257334383,1773276720000
FULL_CLOSE_TRAIL,2026-03-12T01:20:00Z,,1.0134307644751057,37.023,2.9719377257334383,1773278400000
FIRST,2026-03-12T01:22:00Z,109.16124484406397,,36.879,2.9599838619285768,1773278520000
DCA,2026-03-12T01:32:00Z,108.55444815236862,,36.674,2.9599838619285768,1773279120000
DCA,2026-03-12T01:34:00Z,162.56527368097935,,36.614,4.439975792892865,1773279240000
DCA,2026-03-12T01:40:00Z,296.75022209378756,,36.456,8.139955620303587,1773279600000
FULL_CLOSE_TRAIL,2026-03-12T05:44:00Z,,8.519573550595961,37.057,18.499899137053603,1773294240000
FIRST,2026-03-12T05:46:00Z,110.4153700560719,,37.033,2.9815399793716924,1773294360000
FULL_CLOSE_TRAIL,2026-03-12T05:56:00Z,,0.8467573541415574,37.317,2.9815399793716924,1773294960000
FIRST,2026-03-12T05:58:00Z,110.53311703293727,,37.24,2.968128813988648,1773295080000
DCA,2026-03-12T06:00:00Z,110.11461087016485,,37.099,2.968128813988648,1773295200000
DCA,2026-03-12T06:40:00Z,164.75786233569585,,37.006,4.452193220982972,1773297600000
DCA,2026-03-12T06:54:00Z,300.4317724553205,,36.807,8.162354238468783,1773298440000
FULL_CLOSE_TRAIL,2026-03-12T08:50:00Z,,5.384185668575444,37.261,18.55080508742905,1773305400000
FIRST,2026-03-12T08:52:00Z,111.28442202702482,,37.31,2.9826969184407615,1773305520000
DCA,2026-03-12T09:06:00Z,110.73262309711328,,37.125,2.9826969184407615,1773306360000
DCA,2026-03-12T09:20:00Z,165.87075833140915,,37.074,4.474045377661142,1773307200000
FULL_CLOSE_TRAIL,2026-03-12T09:36:00Z,,2.0252512076212934,37.35,10.439439214542665,1773308160000
FIRST,2026-03-12T09:38:00Z,111.54623815159472,,37.383,2.9838760439663674,1773308280000
FULL_CLOSE_TRAIL,2026-03-12T09:44:00Z,,0.7549206391234913,37.636,2.9838760439663674,1773308640000
FIRST,2026-03-12T09:46:00Z,111.6491176620991,,37.561,2.972474579007457,1773308760000
DCA,2026-03-12T09:50:00Z,111.32809040756631,,37.453,2.972474579007457,1773309000000
FULL_CLOSE_TRAIL,2026-03-12T10:20:00Z,,1.7121453575082968,37.795,5.944949158014914,1773310800000
FIRST,2026-03-12T10:22:00Z,111.88724759438068,,37.793,2.9605283410785246,1773310920000
DCA,2026-03-12T11:00:00Z,111.48757626833508,,37.658,2.9605283410785246,1773313200000
DCA,2026-03-12T11:10:00Z,166.79172594385244,,37.559,4.440792511617786,1773313800000
DCA,2026-03-12T11:56:00Z,303.9367210801446,,37.332,8.141452937965942,1773316560000
FULL_CLOSE_TRAIL,2026-03-12T13:12:00Z,,4.766450629136486,37.77,18.503302131740778,1773321120000
FIRST,2026-03-12T13:14:00Z,112.53844185565032,,37.718,2.983679989809913,1773321240000
FULL_CLOSE_TRAIL,2026-03-12T13:36:00Z,,0.608670717921203,37.922,2.983679989809913,1773322560000
FIRST,2026-03-12T13:38:00Z,112.61777432616339,,37.843,2.9759208922697296,1773322680000
DCA,2026-03-12T13:48:00Z,112.01366238503262,,37.64,2.9759208922697296,1773323280000
DCA,2026-03-12T13:54:00Z,167.74373293456784,,37.578,4.463881338404594,1773323640000
DCA,2026-03-12T14:04:00Z,305.7297449068845,,37.358,8.183782453741756,1773324240000
FULL_CLOSE_TRAIL,2026-03-12T17:52:00Z,,4.9005977293451215,37.797,18.599505576685807,1773337920000
FIRST,2026-03-12T17:54:00Z,113.28978112871185,,37.721,3.0033610224732077,1773338040000
DCA,2026-03-12T18:02:00Z,112.87832066863305,,37.584,3.0033610224732077,1773338520000
DCA,2026-03-12T18:06:00Z,168.56964410835374,,37.418,4.505041533709812,1773338760000
DCA,2026-03-12T18:38:00Z,307.1447216852676,,37.188,8.259242811801322,1773340680000
FULL_CLOSE_TRAIL,2026-03-13T00:24:00Z,,6.122351444311684,37.718,18.77100639045755,1773361440000
FIRST,2026-03-13T00:26:00Z,114.15656637687161,,37.797,3.0202546862680006,1773361560000
DCA,2026-03-13T00:28:00Z,113.64312308020607,,37.627,3.0202546862680006,1773361680000
DCA,2026-03-13T00:42:00Z,170.14755787825098,,37.557,4.530382029402001,1773362520000
FULL_CLOSE_TRAIL,2026-03-13T01:22:00Z,,2.731820363729435,37.904,10.570891401938002,1773364920000
FIRST,2026-03-13T01:24:00Z,114.52976752986558,,37.992,3.0145758983434825,1773365040000
FULL_CLOSE_TRAIL,2026-03-13T01:42:00Z,,0.6330609386521339,38.202,3.0145758983434825,1773366120000
FIRST,2026-03-13T01:44:00Z,114.61268187237005,,38.27,2.994844052060884,1773366240000
